                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     66,                0.37524,                0.48946,                 1.0551,                0.88203,                0.88549,                0.95152,                0.90699,                 0.3271,                0.51837,                0.76361,             0.00063438,             0.00063438,             0.00063438
                     67,                0.38109,                 0.5083,                 1.0559,                0.83325,                 0.9011,                0.93862,                0.89701,                 0.3244,                0.53953,                0.76428,             0.00062705,             0.00062705,             0.00062705
                     68,                0.37011,                0.49325,                 1.0421,                0.89209,                0.85314,                0.93538,                0.89122,                0.33875,                0.57513,                0.76845,             0.00061972,             0.00061972,             0.00061972
                     69,                0.36787,                0.49703,                 1.0436,                0.87665,                0.87892,                0.94456,                0.89447,                 0.3318,                 0.5367,                0.77906,             0.00061238,             0.00061238,             0.00061238
                     70,                0.37132,                0.50978,                 1.0479,                0.87432,                0.86441,                0.94289,                0.90238,                0.31019,                0.53301,                0.74353,             0.00060505,             0.00060505,             0.00060505
                     71,                0.37796,                0.47624,                 1.0528,                0.90341,                0.84975,                0.94001,                0.90253,                0.31982,                0.50624,                0.76165,             0.00059772,             0.00059772,             0.00059772
                     72,                0.38642,                0.51219,                 1.0613,                0.83992,                0.86947,                0.93591,                0.89341,                0.31397,                 0.6123,                0.76087,             0.00059039,             0.00059039,             0.00059039
                     73,                0.37915,                0.47495,                 1.0564,                0.90008,                0.85018,                0.93533,                0.87453,                0.38008,                0.57201,                 0.8243,             0.00058305,             0.00058305,             0.00058305
                     74,                0.36542,                0.47097,                 1.0423,                0.90687,                0.85872,                0.94879,                0.89996,                0.33797,                0.50221,                0.79511,             0.00057572,             0.00057572,             0.00057572
                     75,                0.36377,                0.46743,                 1.0504,                0.87657,                0.86574,                0.94127,                 0.8797,                0.36918,                0.60403,                0.81774,             0.00056839,             0.00056839,             0.00056839
                     76,                0.35718,                0.46988,                 1.0447,                0.91177,                0.88559,                0.95079,                0.91504,                0.29731,                0.47802,                0.74261,             0.00056105,             0.00056105,             0.00056105
                     77,                 0.3683,                0.46963,                 1.0479,                0.92588,                0.87636,                0.95331,                0.91438,                0.32495,                0.49392,                0.77393,             0.00055372,             0.00055372,             0.00055372
                     78,                0.35952,                0.47727,                  1.041,                0.84607,                0.90058,                0.92795,                0.89457,                0.29496,                0.56372,                0.73364,             0.00054639,             0.00054639,             0.00054639
                     79,                0.35541,                0.47761,                 1.0426,                0.88505,                 0.8998,                  0.947,                0.90632,                0.31856,                0.49112,                0.75796,             0.00053906,             0.00053906,             0.00053906
                     80,                0.35341,                0.44997,                  1.036,                0.90992,                0.85363,                0.94774,                0.91117,                 0.3056,                 0.5163,                0.74663,             0.00053172,             0.00053172,             0.00053172
                     81,                  0.349,                  0.454,                  1.045,                0.91389,                0.87797,                0.94767,                0.90877,                0.32866,                0.51729,                0.77485,             0.00052439,             0.00052439,             0.00052439
                     82,                0.34719,                0.43985,                 1.0358,                0.91498,                0.88732,                0.95209,                0.91334,                0.31444,                0.46066,                0.76479,             0.00051706,             0.00051706,             0.00051706
                     83,                0.34754,                0.43031,                 1.0265,                0.90077,                0.88107,                0.94863,                0.91423,                0.31652,                0.50002,                0.76679,             0.00050973,             0.00050973,             0.00050973
                     84,                0.36199,                0.45847,                 1.0393,                  0.878,                  0.895,                0.94753,                0.91312,                0.29543,                0.49792,                0.73386,             0.00050239,             0.00050239,             0.00050239
                     85,                0.35862,                0.44343,                 1.0431,                0.91716,                0.89377,                0.95528,                0.91511,                0.31286,                0.49566,                0.75404,             0.00049506,             0.00049506,             0.00049506
                     86,                0.34267,                0.41562,                 1.0321,                0.91983,                0.89879,                0.95501,                0.92282,                0.30508,                0.48683,                0.74361,             0.00048773,             0.00048773,             0.00048773
                     87,                0.33701,                0.42792,                 1.0264,                0.89854,                0.91296,                0.96012,                0.92345,                0.31328,                0.45222,                0.75082,              0.0004804,              0.0004804,              0.0004804
                     88,                0.34247,                0.43936,                 1.0326,                0.88388,                0.88571,                0.95046,                0.90876,                0.32335,                0.54817,                0.76041,             0.00047306,             0.00047306,             0.00047306
                     89,                0.34785,                0.43641,                 1.0351,                0.90925,                0.90114,                0.95829,                0.92426,                0.29573,                0.45032,                0.73289,             0.00046573,             0.00046573,             0.00046573
                     90,                0.34689,                0.41958,                 1.0312,                0.93289,                0.86252,                0.95624,                0.91768,                0.29784,                0.46027,                0.73977,              0.0004584,              0.0004584,              0.0004584
                     91,                0.34441,                0.42663,                 1.0339,                0.91134,                0.91171,                 0.9569,                0.92158,                0.30096,                0.45311,                 0.7461,             0.00045107,             0.00045107,             0.00045107
                     92,                0.34316,                0.42208,                 1.0358,                0.92274,                0.88267,                0.95838,                0.92389,                0.29613,                0.44773,                 0.7436,             0.00044373,             0.00044373,             0.00044373
                     93,                0.34947,                0.41864,                 1.0384,                0.88451,                0.89585,                0.95467,                0.92078,                0.29615,                0.49665,                0.73934,              0.0004364,              0.0004364,              0.0004364
                     94,                0.34665,                0.41492,                 1.0371,                0.89913,                0.91256,                0.96502,                0.93236,                 0.2935,                0.46265,                0.73169,             0.00042907,             0.00042907,             0.00042907
                     95,                0.34069,                0.41046,                 1.0281,                0.92515,                0.91241,                0.96469,                0.92382,                0.30207,                0.43088,                0.74691,             0.00042174,             0.00042174,             0.00042174
                     96,                0.33783,                0.41694,                 1.0282,                0.92629,                0.88709,                0.96148,                0.92607,                0.30159,                0.45034,                 0.7441,              0.0004144,              0.0004144,              0.0004144
                     97,                0.33655,                0.40445,                 1.0234,                0.90363,                0.90481,                0.95931,                0.92977,                0.29181,                0.46287,                0.73086,             0.00040707,             0.00040707,             0.00040707
                     98,                0.33922,                0.42562,                 1.0338,                0.90057,                0.90254,                 0.9497,                0.91966,                0.28486,                0.47375,                 0.7226,             0.00039974,             0.00039974,             0.00039974
                     99,                0.33368,                 0.3932,                 1.0238,                0.89166,                0.90717,                0.94811,                0.91489,                0.29132,                0.46907,                 0.7293,             0.00039241,             0.00039241,             0.00039241
                    100,                0.33724,                0.39847,                 1.0308,                0.91698,                0.91279,                0.95919,                0.91373,                0.31572,                0.45398,                0.73981,             0.00038507,             0.00038507,             0.00038507
